record_id,building_id,building_name,building_type,timestamp,electricity_kwh,water_m3,hvac_kwh,cooling_load_kwh,chilled_water_supply_temp_c,chilled_water_return_temp_c,environment_temp_c,humidity_rh,occupancy_density_per_100m2,equipment_id,equipment_status
R00001,BLD-A,综合教学楼A,teaching,2026-03-01 00:00:00,248.42,9.28,75.53,193.94,7.0,12.6,14.7,58.9,2.4,AHU-A-01,abnormal
R00002,BLD-A,综合教学楼A,teaching,2026-03-01 03:00:00,178.94,8.95,58.98,178.83,6.0,11.3,16.3,55.4,2.4,AHU-A-01,normal
R00003,BLD-A,综合教学楼A,teaching,2026-03-01 06:00:00,211.26,9.42,70.29,222.1,6.0,12.4,17.2,58.1,25.3,AHU-A-01,normal
R00004,BLD-A,综合教学楼A,teaching,2026-03-01 09:00:00,259.49,9.85,86.4,255.85,6.1,11.1,17.4,57.2,35.2,AHU-A-01,normal
R00005,BLD-A,综合教学楼A,teaching,2026-03-01 12:00:00,264.92,9.94,88.4,269.19,7.5,11.6,18.7,66.3,38.9,AHU-A-01,normal
R00006,BLD-A,综合教学楼A,teaching,2026-03-01 15:00:00,254.19,9.76,84.44,258.59,7.1,11.0,19.9,63.7,46.4,AHU-A-01,normal
R00007,BLD-A,综合教学楼A,teaching,2026-03-01 18:00:00,198.7,9.17,65.65,187.92,6.4,12.1,19.3,56.1,45.9,AHU-A-01,normal
R00008,BLD-A,综合教学楼A,teaching,2026-03-01 21:00:00,186.55,9.11,61.78,198.53,7.0,12.1,20.1,57.9,2.5,AHU-A-01,normal
R00009,BLD-B,行政办公楼B,office,2026-03-01 00:00:00,161.87,7.24,52.85,170.99,7.0,12.0,16.3,57.3,4.0,CH-B-02,normal
R00010,BLD-B,行政办公楼B,office,2026-03-01 03:00:00,174.44,7.48,57.43,162.72,6.5,11.4,17.3,65.9,3.6,CH-B-02,normal
R00011,BLD-B,行政办公楼B,office,2026-03-01 06:00:00,177.01,7.37,57.83,178.99,6.6,12.6,18.2,67.3,26.5,CH-B-02,normal
R00012,BLD-B,行政办公楼B,office,2026-03-01 09:00:00,286.71,7.8,85.98,206.72,6.9,12.6,17.2,58.5,35.2,CH-B-02,abnormal
R00013,BLD-B,行政办公楼B,office,2026-03-01 12:00:00,284.24,7.77,85.15,199.7,6.1,11.1,17.8,69.0,40.7,CH-B-02,abnormal
R00014,BLD-B,行政办公楼B,office,2026-03-01 15:00:00,229.46,7.89,75.48,224.95,7.5,11.9,19.8,60.9,42.1,CH-B-02,normal
R00015,BLD-B,行政办公楼B,office,2026-03-01 18:00:00,197.22,7.74,65.2,202.54,6.8,11.4,20.6,55.2,55.1,CH-B-02,normal
R00016,BLD-B,行政办公楼B,office,2026-03-01 21:00:00,173.37,7.46,57.04,183.7,7.3,11.4,19.5,61.1,4.2,CH-B-02,normal
R00017,BLD-C,图书信息楼C,library,2026-03-01 00:00:00,258.53,8.72,82.81,243.91,7.0,12.1,15.0,67.8,10.2,CT-C-03,normal
R00018,BLD-C,图书信息楼C,library,2026-03-01 03:00:00,245.58,8.52,78.2,237.95,6.0,11.5,17.1,62.6,9.8,CT-C-03,normal
R00019,BLD-C,图书信息楼C,library,2026-03-01 06:00:00,261.54,8.58,83.08,245.03,6.1,12.6,18.1,67.3,55.8,CT-C-03,normal
R00020,BLD-C,图书信息楼C,library,2026-03-01 09:00:00,364.87,9.49,117.66,369.38,7.1,11.1,16.8,61.8,52.9,CT-C-03,normal
R00021,BLD-C,图书信息楼C,library,2026-03-01 12:00:00,341.58,9.21,109.37,327.86,6.3,11.9,18.6,58.7,75.3,CT-C-03,normal
R00022,BLD-C,图书信息楼C,library,2026-03-01 15:00:00,354.15,9.36,113.84,352.11,6.7,11.9,18.4,59.4,86.8,CT-C-03,normal
R00023,BLD-C,图书信息楼C,library,2026-03-01 18:00:00,265.65,8.64,84.55,246.59,6.3,11.0,19.1,59.7,89.6,CT-C-03,normal
R00024,BLD-C,图书信息楼C,library,2026-03-01 21:00:00,337.14,8.79,98.91,231.28,6.4,12.2,19.8,67.7,10.2,CT-C-03,abnormal
R00025,BLD-D,科研实验楼D,lab,2026-03-01 00:00:00,297.71,10.96,98.42,297.07,7.2,12.4,14.9,68.1,11.9,FCU-D-04,normal
R00026,BLD-D,科研实验楼D,lab,2026-03-01 03:00:00,296.64,10.95,98.02,295.65,7.1,12.2,15.5,61.0,11.1,FCU-D-04,normal
R00027,BLD-D,科研实验楼D,lab,2026-03-01 06:00:00,361.01,11.69,120.78,384.32,6.4,11.3,16.2,60.6,60.1,FCU-D-04,normal
R00028,BLD-D,科研实验楼D,lab,2026-03-01 09:00:00,408.68,11.78,135.64,435.09,6.7,12.5,17.6,58.9,69.0,FCU-D-04,normal
R00029,BLD-D,科研实验楼D,lab,2026-03-01 12:00:00,414.71,11.85,137.86,444.88,7.4,12.5,17.4,69.0,90.0,FCU-D-04,normal
R00030,BLD-D,科研实验楼D,lab,2026-03-01 15:00:00,501.69,11.56,151.47,353.54,6.6,12.8,19.1,58.0,92.7,FCU-D-04,abnormal
R00031,BLD-D,科研实验楼D,lab,2026-03-01 18:00:00,326.07,11.17,107.89,347.63,7.5,12.0,20.4,61.4,95,FCU-D-04,normal
R00032,BLD-D,科研实验楼D,lab,2026-03-01 21:00:00,320.25,11.32,106.74,326.96,6.8,12.3,19.6,59.2,13.8,FCU-D-04,normal
R00033,BLD-A,综合教学楼A,teaching,2026-03-02 00:00:00,202.41,9.24,66.68,192.43,7.4,11.1,16.2,61.9,7.3,AHU-A-01,normal
R00034,BLD-A,综合教学楼A,teaching,2026-03-02 03:00:00,206.42,9.32,68.15,195.62,7.3,11.4,16.9,64.3,4.2,AHU-A-01,normal
R00035,BLD-A,综合教学楼A,teaching,2026-03-02 06:00:00,238.2,9.72,79.18,240.67,7.4,11.3,17.6,60.7,43.5,AHU-A-01,normal
R00036,BLD-A,综合教学楼A,teaching,2026-03-02 09:00:00,295.63,10.2,98.45,290.04,6.5,12.3,17.4,60.4,55.6,AHU-A-01,normal
R00037,BLD-A,综合教学楼A,teaching,2026-03-02 12:00:00,269.05,9.79,88.65,252.73,6.3,11.4,18.5,68.8,71.9,AHU-A-01,normal
R00038,BLD-A,综合教学楼A,teaching,2026-03-02 15:00:00,304.59,10.34,101.76,293.7,7.3,12.2,20.2,67.2,71.2,AHU-A-01,normal
R00039,BLD-A,综合教学楼A,teaching,2026-03-02 18:00:00,238.78,9.73,79.39,251.14,6.4,12.2,21.1,64.0,75.1,AHU-A-01,normal
R00040,BLD-A,综合教学楼A,teaching,2026-03-02 21:00:00,229.87,9.78,76.8,234.42,6.4,12.0,19.7,56.5,3.5,AHU-A-01,normal
R00041,BLD-B,行政办公楼B,office,2026-03-02 00:00:00,199.14,7.76,65.6,198.44,7.4,12.5,15.3,63.7,6.3,CH-B-02,normal
R00042,BLD-B,行政办公楼B,office,2026-03-02 03:00:00,181.75,7.45,59.25,186.28,7.0,11.4,16.5,58.7,5.0,CH-B-02,normal
R00043,BLD-B,行政办公楼B,office,2026-03-02 06:00:00,217.17,7.89,71.56,204.06,7.3,12.6,17.4,60.9,40.2,CH-B-02,normal
R00044,BLD-B,行政办公楼B,office,2026-03-02 09:00:00,257.73,8.12,84.67,243.3,6.5,12.6,18.8,63.0,53.2,CH-B-02,normal
R00045,BLD-B,行政办公楼B,office,2026-03-02 12:00:00,266.97,8.25,88.04,257.5,6.2,12.4,19.5,67.5,64.8,CH-B-02,normal
R00046,BLD-B,行政办公楼B,office,2026-03-02 15:00:00,270.22,8.29,89.22,286.46,7.3,12.8,19.1,63.6,74.3,CH-B-02,normal
R00047,BLD-B,行政办公楼B,office,2026-03-02 18:00:00,219.27,7.92,72.33,214.05,7.4,12.4,20.9,55.2,95,CH-B-02,normal
R00048,BLD-B,行政办公楼B,office,2026-03-02 21:00:00,260.11,7.83,78.48,184.52,7.3,12.5,21.4,58.6,8.9,CH-B-02,abnormal
R00049,BLD-C,图书信息楼C,library,2026-03-02 00:00:00,253.24,8.63,80.74,254.66,6.3,10.9,16.8,61.3,8.5,CT-C-03,normal
R00050,BLD-C,图书信息楼C,library,2026-03-02 03:00:00,252.13,8.62,80.34,235.99,7.0,11.7,16.3,67.0,11.8,CT-C-03,normal
R00051,BLD-C,图书信息楼C,library,2026-03-02 06:00:00,306.59,9.2,98.91,319.24,6.3,12.7,17.4,68.0,49.1,CT-C-03,normal
R00052,BLD-C,图书信息楼C,library,2026-03-02 09:00:00,337.98,9.16,107.84,318.32,6.9,11.9,17.0,61.0,70.6,CT-C-03,normal
R00053,BLD-C,图书信息楼C,library,2026-03-02 12:00:00,344.02,9.23,109.99,310.24,7.4,11.9,18.8,58.4,80.8,CT-C-03,normal
R00054,BLD-C,图书信息楼C,library,2026-03-02 15:00:00,360.85,9.43,115.98,330.47,7.0,11.5,19.9,64.3,85.1,CT-C-03,normal
R00055,BLD-C,图书信息楼C,library,2026-03-02 18:00:00,279.04,8.82,89.11,262.85,6.6,11.7,20.8,64.9,94.4,CT-C-03,normal
R00056,BLD-C,图书信息楼C,library,2026-03-02 21:00:00,256.02,8.67,81.73,253.73,7.4,12.1,19.7,60.8,11.7,CT-C-03,normal
R00057,BLD-D,科研实验楼D,lab,2026-03-02 00:00:00,301.58,11.02,99.85,299.6,6.9,12.1,16.1,54.9,10.4,FCU-D-04,normal
R00058,BLD-D,科研实验楼D,lab,2026-03-02 03:00:00,308.92,11.14,102.55,328.02,7.2,11.2,16.5,57.9,11.4,FCU-D-04,normal
R00059,BLD-D,科研实验楼D,lab,2026-03-02 06:00:00,317.3,11.04,104.65,331.09,7.1,12.2,17.4,63.7,60.0,FCU-D-04,normal
R00060,BLD-D,科研实验楼D,lab,2026-03-02 09:00:00,395.4,11.61,130.74,394.77,7.3,11.0,17.3,55.2,68.9,FCU-D-04,normal
R00061,BLD-D,科研实验楼D,lab,2026-03-02 12:00:00,406.65,11.75,134.89,408.4,6.4,12.1,19.0,57.6,87.5,FCU-D-04,normal
R00062,BLD-D,科研实验楼D,lab,2026-03-02 15:00:00,382.41,11.44,125.94,377.65,6.3,12.7,19.9,65.7,87.4,FCU-D-04,normal
R00063,BLD-D,科研实验楼D,lab,2026-03-02 18:00:00,338.35,11.35,112.42,338.58,7.2,12.2,18.9,58.4,95,FCU-D-04,normal
R00064,BLD-D,科研实验楼D,lab,2026-03-02 21:00:00,332.29,11.52,111.18,342.14,7.1,11.9,20.9,68.2,13.5,FCU-D-04,normal
R00065,BLD-A,综合教学楼A,teaching,2026-03-03 00:00:00,226.49,9.71,75.56,228.13,6.4,11.4,16.3,67.3,6.7,AHU-A-01,normal
R00066,BLD-A,综合教学楼A,teaching,2026-03-03 03:00:00,220.49,9.6,73.34,215.28,6.1,11.4,17.5,62.0,6.1,AHU-A-01,normal
R00067,BLD-A,综合教学楼A,teaching,2026-03-03 06:00:00,227.27,9.52,75.15,219.23,7.0,12.2,17.1,62.3,35.5,AHU-A-01,normal
R00068,BLD-A,综合教学楼A,teaching,2026-03-03 09:00:00,268.71,9.78,88.53,257.33,6.6,12.6,18.0,62.3,51.0,AHU-A-01,normal
R00069,BLD-A,综合教学楼A,teaching,2026-03-03 12:00:00,290.17,10.12,96.44,287.37,6.0,11.6,19.3,66.7,67.8,AHU-A-01,normal
