question_id,question,question_type,expected_sources,expected_keywords,expected_answer_points,demo_priority,eval_id_ref,difficulty,requires_data_lookup
QE-001,这个系统里有多少栋建筑？,factual,"data/processed/data_quality_report_round1.md","建筑数量,4栋,BLD-A,BLD-B,BLD-C,BLD-D,教学楼,办公楼,图书馆,实验楼","共4栋建筑;BLD-A综合教学楼/BLD-B行政办公楼/BLD-C图书信息楼/BLD-D科研实验楼;总记录数1120条每楼280条",high,AE-01,easy,false
QE-002,数据集的时间范围是多少？,factual,"data/processed/data_quality_report_round1.md","时间范围,2026-03-01,2026-04-04,35天,3小时,时间粒度","时间范围2026-03-01至2026-04-04共35天;时间粒度3小时间隔;每楼280条记录",high,AE-01,easy,false
QE-003,当前数据集的COP均值是多少？,factual,"knowledge_base/glossary/metrics_and_rules.md","COP,3.01,制冷性能系数,cooling_load_kwh,hvac_kwh,2.5,告警","COP均值约3.01;COP=cooling_load_kwh/hvac_kwh;范围2.32-3.24;COP<2.5为告警",high,AE-02,easy,false
QE-004,数据里有多少条异常记录？,factual,"data/processed/data_quality_report_round1.md,knowledge_base/manuals/anomaly_diagnosis_guide.md","异常,53条,4.7%,abnormal,equipment_status,R00001,R00024,R00606","共53条异常记录占4.7%;四楼均有分布;典型案例R00001(教学楼凌晨)/R00024(图书馆最低COP)/R00606(实验楼最高电耗)",high,AE-03,easy,false
QE-005,数据字段有哪些？,factual,"data/dictionaries/energy_records_dictionary.csv,data/processed/data_quality_report_round1.md","字段,16个,electricity_kwh,hvac_kwh,occupancy_density,equipment_status,数据字典","共16个字段;包含建筑标识/时间/能耗/环境/运行/设备信息;全部字段无空值",medium,AE-01,easy,false
QE-006,哪栋建筑能耗最高？,analytical,"knowledge_base/manuals/building_type_notes.md,data/processed/data_quality_report_round1.md","能耗最高,BLD-D,实验楼,360.5,561.9,高功率设备","BLD-D科研实验楼电耗最高均值360.5kWh;最高单次561.9kWh;原因是大功率实验设备和全天候运行",high,,medium,false
QE-007,如何判断能耗是否异常？,analytical,"knowledge_base/glossary/metrics_and_rules.md,knowledge_base/manuals/anomaly_diagnosis_guide.md","异常判定,COP<2.5,均值1.5倍,非工时,equipment_status,告警规则","4条判定规则:1)equipment_status=abnormal;2)COP<2.5;3)电耗>建筑均值×1.5;4)非工时(00:00-06:00)电耗>日均80%",high,AE-10,medium,false
QE-008,图书信息楼C最近出现了什么异常？,analytical,"knowledge_base/manuals/anomaly_diagnosis_guide.md,data/processed/data_quality_report_round1.md","图书馆,BLD-C,R00024,COP=2.34,夜间,21:00,CT-C-03,冷却塔","R00024(2026-03-01 21:00)electricity=344.02kWh COP=2.34全库最低;夜间高耗为主要模式;排查CT-C-03冷却塔",high,AE-07,medium,true
QE-009,科研实验楼用电量为什么最高？,analytical,"knowledge_base/manuals/building_type_notes.md","实验楼,BLD-D,高功率,全天候,FCU-D-04,实验设备","实验室大功率设备集中使用;全天候运行需求;电耗均值360.5kWh是办公楼224.6kWh的1.6倍",medium,AE-08,medium,false
QE-010,冷却塔CT-C-03出现故障怎么排查？,advisory,"knowledge_base/manuals/equipment_maintenance_playbook.md,knowledge_base/manuals/anomaly_diagnosis_guide.md","冷却塔,CT-C-03,排查步骤,填料,水位,风机,COP,冷凝","排查步骤:查水位→查填料→查风机转速→查排污;填料堵塞导致冷凝压力上升COP下降;月度清洗季度防腐",medium,AE-09,medium,false
