record_id,building_id,building_name,building_type,timestamp,electricity_kwh,water_m3,hvac_kwh,cooling_load_kwh,chilled_water_supply_temp_c,chilled_water_return_temp_c,environment_temp_c,humidity_rh,occupancy_density_per_100m2,equipment_id,equipment_status
R00001,BLD-A,综合教学楼A,teaching,2026-01-01 00:00:00,306.37,9.22,92.19,236.71,7.0,12.6,0.2,38.0,2.1,AHU-A-01,abnormal
R00002,BLD-A,综合教学楼A,teaching,2026-01-01 03:00:00,262.35,9.47,86.97,263.7,6.0,11.3,-2.2,35,2.0,AHU-A-01,normal
R00003,BLD-A,综合教学楼A,teaching,2026-01-01 06:00:00,279.16,9.69,92.72,293.0,6.0,12.4,0.7,37.6,21.8,AHU-A-01,normal
R00004,BLD-A,综合教学楼A,teaching,2026-01-01 09:00:00,314.26,9.96,104.03,308.09,6.1,11.1,4.3,39.2,30.4,AHU-A-01,normal
R00005,BLD-A,综合教学楼A,teaching,2026-01-01 12:00:00,310.44,10.13,103.21,314.29,7.5,11.6,7.7,50.7,33.6,AHU-A-01,normal
R00006,BLD-A,综合教学楼A,teaching,2026-01-01 15:00:00,318.92,10.28,106.39,325.81,7.1,11.0,8.0,48.3,40.0,AHU-A-01,normal
R00007,BLD-A,综合教学楼A,teaching,2026-01-01 18:00:00,256.03,9.53,84.68,242.4,6.4,12.1,4.2,38.1,39.6,AHU-A-01,normal
R00008,BLD-A,综合教学楼A,teaching,2026-01-01 21:00:00,251.09,9.43,83.16,267.24,7.0,12.1,0.5,37.3,2.2,AHU-A-01,normal
R00009,BLD-B,行政办公楼B,office,2026-01-01 00:00:00,240.91,7.76,79.37,256.8,7.0,12.0,-1.0,35.6,3.4,CH-B-02,normal
R00010,BLD-B,行政办公楼B,office,2026-01-01 03:00:00,243.74,7.82,80.43,227.91,6.5,11.4,-0.7,44.4,3.1,CH-B-02,normal
R00011,BLD-B,行政办公楼B,office,2026-01-01 06:00:00,267.49,7.99,88.4,273.62,6.6,12.6,-0.4,46.0,22.8,CH-B-02,normal
R00012,BLD-B,行政办公楼B,office,2026-01-01 09:00:00,279.95,7.97,91.55,268.26,6.9,12.6,3.7,40.0,30.3,CH-B-02,normal
R00013,BLD-B,行政办公楼B,office,2026-01-01 12:00:00,266.51,7.95,87.08,248.89,6.1,11.1,6.6,52.6,35.1,CH-B-02,normal
R00014,BLD-B,行政办公楼B,office,2026-01-01 15:00:00,282.93,8.25,93.3,278.06,7.5,11.9,8.1,45.6,36.3,CH-B-02,normal
R00015,BLD-B,行政办公楼B,office,2026-01-01 18:00:00,241.63,7.95,79.76,247.75,6.8,11.4,6.0,38.4,47.5,CH-B-02,normal
R00016,BLD-B,行政办公楼B,office,2026-01-01 21:00:00,213.67,7.46,69.68,224.42,7.3,11.4,1.2,40.9,3.6,CH-B-02,normal
R00017,BLD-C,图书信息楼C,library,2026-01-01 00:00:00,317.29,8.61,101.08,297.73,7.0,12.1,-0.2,46.6,8.5,CT-C-03,normal
R00018,BLD-C,图书信息楼C,library,2026-01-01 03:00:00,353.69,8.94,113.75,346.11,6.0,11.5,-2.0,40.2,8.2,CT-C-03,normal
R00019,BLD-C,图书信息楼C,library,2026-01-01 06:00:00,387.08,9.17,124.79,368.02,6.1,12.6,-0.8,45.7,46.5,CT-C-03,normal
R00020,BLD-C,图书信息楼C,library,2026-01-01 09:00:00,386.16,9.05,122.82,385.59,7.1,11.1,4.9,44.2,44.1,CT-C-03,normal
R00021,BLD-C,图书信息楼C,library,2026-01-01 12:00:00,402.17,9.33,128.92,386.47,6.3,11.9,6.8,42.5,62.8,CT-C-03,normal
R00022,BLD-C,图书信息楼C,library,2026-01-01 15:00:00,477.39,9.12,139.07,352.94,6.7,11.9,8.4,44.2,72.3,CT-C-03,abnormal
R00023,BLD-C,图书信息楼C,library,2026-01-01 18:00:00,327.98,8.77,104.57,305.0,6.3,11.0,3.9,41.5,74.7,CT-C-03,normal
R00024,BLD-C,图书信息楼C,library,2026-01-01 21:00:00,402.01,8.64,117.17,273.98,6.4,12.2,1.1,47.4,8.5,CT-C-03,abnormal
R00025,BLD-D,科研实验楼D,lab,2026-01-01 00:00:00,394.08,10.9,130.09,392.67,7.2,12.4,-0.9,46.5,10.7,FCU-D-04,normal
R00026,BLD-D,科研实验楼D,lab,2026-01-01 03:00:00,397.22,10.88,131.04,395.24,7.1,12.2,-1.9,38.7,10.0,FCU-D-04,normal
